"Notes"	"County"	"County Code"	"Month"	"Month Code"	Avg Daily Max Air Temperature (C)	Avg Daily Min Air Temperature (C)
	"Anderson County, TX"	"48001"	"Jan"	"1"	15.49818	3.89457
	"Anderson County, TX"	"48001"	"Feb"	"2"	17.33831	5.34237
	"Anderson County, TX"	"48001"	"Mar"	"3"	21.63847	9.11116
	"Anderson County, TX"	"48001"	"Apr"	"4"	25.98448	12.16987
	"Anderson County, TX"	"48001"	"May"	"5"	30.16998	17.58391
	"Anderson County, TX"	"48001"	"Jun"	"6"	33.34998	21.79600
	"Anderson County, TX"	"48001"	"Jul"	"7"	35.27504	23.19828
	"Anderson County, TX"	"48001"	"Aug"	"8"	35.96458	23.45425
	"Anderson County, TX"	"48001"	"Sep"	"9"	32.36915	20.25327
	"Anderson County, TX"	"48001"	"Oct"	"10"	27.36449	14.26845
	"Anderson County, TX"	"48001"	"Nov"	"11"	21.33080	9.10697
	"Anderson County, TX"	"48001"	"Dec"	"12"	15.74094	3.78973
"Total"	"Anderson County, TX"	"48001"			26.04201	13.70247
	"Andrews County, TX"	"48003"	"Jan"	"1"	13.63164	2.73608
	"Andrews County, TX"	"48003"	"Feb"	"2"	16.31510	4.51751
	"Andrews County, TX"	"48003"	"Mar"	"3"	21.01785	8.03843
	"Andrews County, TX"	"48003"	"Apr"	"4"	26.11649	11.99896
	"Andrews County, TX"	"48003"	"May"	"5"	31.31917	16.80620
	"Andrews County, TX"	"48003"	"Jun"	"6"	34.75966	21.14492
	"Andrews County, TX"	"48003"	"Jul"	"7"	34.74349	22.27414
	"Andrews County, TX"	"48003"	"Aug"	"8"	34.43105	22.37746
	"Andrews County, TX"	"48003"	"Sep"	"9"	31.00141	18.41949
	"Andrews County, TX"	"48003"	"Oct"	"10"	25.63254	13.10913
	"Andrews County, TX"	"48003"	"Nov"	"11"	18.67680	6.70287
	"Andrews County, TX"	"48003"	"Dec"	"12"	13.42371	2.31045
"Total"	"Andrews County, TX"	"48003"			25.12667	12.57394
	"Angelina County, TX"	"48005"	"Jan"	"1"	16.18490	4.23649
	"Angelina County, TX"	"48005"	"Feb"	"2"	18.03746	5.73410
	"Angelina County, TX"	"48005"	"Mar"	"3"	22.18809	9.38611
	"Angelina County, TX"	"48005"	"Apr"	"4"	26.36724	12.23885
	"Angelina County, TX"	"48005"	"May"	"5"	30.16849	17.66135
	"Angelina County, TX"	"48005"	"Jun"	"6"	32.96244	21.87955
	"Angelina County, TX"	"48005"	"Jul"	"7"	34.36628	23.04739
	"Angelina County, TX"	"48005"	"Aug"	"8"	34.94687	23.22008
	"Angelina County, TX"	"48005"	"Sep"	"9"	32.07188	20.29940
	"Angelina County, TX"	"48005"	"Oct"	"10"	27.65242	14.36133
	"Angelina County, TX"	"48005"	"Nov"	"11"	21.75099	9.16665
	"Angelina County, TX"	"48005"	"Dec"	"12"	16.42192	4.15035
"Total"	"Angelina County, TX"	"48005"			26.12936	13.81874
	"Aransas County, TX"	"48007"	"Jan"	"1"	19.03354	13.13488
	"Aransas County, TX"	"48007"	"Feb"	"2"	20.11502	14.00660
	"Aransas County, TX"	"48007"	"Mar"	"3"	22.16876	15.84863
	"Aransas County, TX"	"48007"	"Apr"	"4"	25.24307	18.97742
	"Aransas County, TX"	"48007"	"May"	"5"	28.34960	22.67381
	"Aransas County, TX"	"48007"	"Jun"	"6"	30.46411	25.49324
	"Aransas County, TX"	"48007"	"Jul"	"7"	30.95517	26.36785
	"Aransas County, TX"	"48007"	"Aug"	"8"	31.60733	26.93024
	"Aransas County, TX"	"48007"	"Sep"	"9"	30.45014	25.81479
	"Aransas County, TX"	"48007"	"Oct"	"10"	27.47342	22.31067
	"Aransas County, TX"	"48007"	"Nov"	"11"	23.59173	17.92439
	"Aransas County, TX"	"48007"	"Dec"	"12"	19.85498	13.65786
"Total"	"Aransas County, TX"	"48007"			25.79964	20.28879
	"Archer County, TX"	"48009"	"Jan"	"1"	13.24358	1.40342
	"Archer County, TX"	"48009"	"Feb"	"2"	15.15064	2.96307
	"Archer County, TX"	"48009"	"Mar"	"3"	20.47579	7.34057
	"Archer County, TX"	"48009"	"Apr"	"4"	25.59206	11.16712
	"Archer County, TX"	"48009"	"May"	"5"	30.97898	16.83861
	"Archer County, TX"	"48009"	"Jun"	"6"	35.21287	22.12038
	"Archer County, TX"	"48009"	"Jul"	"7"	37.29823	24.17798
	"Archer County, TX"	"48009"	"Aug"	"8"	37.28383	24.74863
	"Archer County, TX"	"48009"	"Sep"	"9"	32.25849	19.72873
	"Archer County, TX"	"48009"	"Oct"	"10"	26.11795	13.21776
	"Archer County, TX"	"48009"	"Nov"	"11"	19.42413	6.97428
	"Archer County, TX"	"48009"	"Dec"	"12"	13.15801	1.03662
"Total"	"Archer County, TX"	"48009"			25.56507	12.68959
	"Armstrong County, TX"	"48011"	"Jan"	"1"	10.89025	-0.62036
	"Armstrong County, TX"	"48011"	"Feb"	"2"	12.85876	0.79199
	"Armstrong County, TX"	"48011"	"Mar"	"3"	17.99435	5.02623
	"Armstrong County, TX"	"48011"	"Apr"	"4"	23.38640	9.10072
	"Armstrong County, TX"	"48011"	"May"	"5"	28.61712	14.43605
	"Armstrong County, TX"	"48011"	"Jun"	"6"	33.03742	19.84341
	"Armstrong County, TX"	"48011"	"Jul"	"7"	34.69843	21.75359
	"Armstrong County, TX"	"48011"	"Aug"	"8"	34.08660	21.69800
	"Armstrong County, TX"	"48011"	"Sep"	"9"	29.88758	16.73123
	"Armstrong County, TX"	"48011"	"Oct"	"10"	23.66584	10.68430
	"Armstrong County, TX"	"48011"	"Nov"	"11"	16.70102	4.10151
	"Armstrong County, TX"	"48011"	"Dec"	"12"	10.82591	-0.96492
"Total"	"Armstrong County, TX"	"48011"			23.10071	10.26109
	"Atascosa County, TX"	"48013"	"Jan"	"1"	19.72885	8.10055
	"Atascosa County, TX"	"48013"	"Feb"	"2"	22.32402	9.22780
	"Atascosa County, TX"	"48013"	"Mar"	"3"	26.02572	11.76789
	"Atascosa County, TX"	"48013"	"Apr"	"4"	30.53823	15.23910
	"Atascosa County, TX"	"48013"	"May"	"5"	34.74932	19.84611
	"Atascosa County, TX"	"48013"	"Jun"	"6"	36.45980	22.96073
	"Atascosa County, TX"	"48013"	"Jul"	"7"	35.91586	23.81158
	"Atascosa County, TX"	"48013"	"Aug"	"8"	36.60111	24.70937
	"Atascosa County, TX"	"48013"	"Sep"	"9"	33.22582	22.98993
	"Atascosa County, TX"	"48013"	"Oct"	"10"	29.54534	17.69363
	"Atascosa County, TX"	"48013"	"Nov"	"11"	24.61057	12.57655
	"Atascosa County, TX"	"48013"	"Dec"	"12"	19.87467	7.56473
"Total"	"Atascosa County, TX"	"48013"			29.16139	16.40471
	"Austin County, TX"	"48015"	"Jan"	"1"	17.45867	6.42568
	"Austin County, TX"	"48015"	"Feb"	"2"	19.34417	7.67867
	"Austin County, TX"	"48015"	"Mar"	"3"	22.99668	10.47399
	"Austin County, TX"	"48015"	"Apr"	"4"	27.13331	13.68822
	"Austin County, TX"	"48015"	"May"	"5"	31.40291	18.63989
	"Austin County, TX"	"48015"	"Jun"	"6"	33.95706	22.33002
	"Austin County, TX"	"48015"	"Jul"	"7"	34.55411	23.37040
	"Austin County, TX"	"48015"	"Aug"	"8"	35.24688	23.95888
	"Austin County, TX"	"48015"	"Sep"	"9"	32.44073	21.75838
	"Austin County, TX"	"48015"	"Oct"	"10"	27.85126	16.29606
	"Austin County, TX"	"48015"	"Nov"	"11"	22.50475	11.20427
	"Austin County, TX"	"48015"	"Dec"	"12"	17.77593	6.22545
"Total"	"Austin County, TX"	"48015"			26.92199	15.20405
	"Bailey County, TX"	"48017"	"Jan"	"1"	11.14685	-0.23973
	"Bailey County, TX"	"48017"	"Feb"	"2"	13.67820	1.41759
	"Bailey County, TX"	"48017"	"Mar"	"3"	18.25924	5.02662
	"Bailey County, TX"	"48017"	"Apr"	"4"	23.53088	9.15055
	"Bailey County, TX"	"48017"	"May"	"5"	29.01889	14.25867
	"Bailey County, TX"	"48017"	"Jun"	"6"	33.15234	19.28786
	"Bailey County, TX"	"48017"	"Jul"	"7"	33.87729	20.58689
	"Bailey County, TX"	"48017"	"Aug"	"8"	33.27668	20.11887
	"Bailey County, TX"	"48017"	"Sep"	"9"	29.58516	15.88530
	"Bailey County, TX"	"48017"	"Oct"	"10"	23.73883	10.23597
	"Bailey County, TX"	"48017"	"Nov"	"11"	16.70853	3.86027
	"Bailey County, TX"	"48017"	"Dec"	"12"	11.34500	-0.58930
"Total"	"Bailey County, TX"	"48017"			23.15140	9.95677
	"Bandera County, TX"	"48019"	"Jan"	"1"	17.03402	6.40014
	"Bandera County, TX"	"48019"	"Feb"	"2"	19.42927	7.73304
	"Bandera County, TX"	"48019"	"Mar"	"3"	23.29446	10.94947
	"Bandera County, TX"	"48019"	"Apr"	"4"	27.81583	14.57684
	"Bandera County, TX"	"48019"	"May"	"5"	32.04721	19.05006
	"Bandera County, TX"	"48019"	"Jun"	"6"	34.11189	21.89331
	"Bandera County, TX"	"48019"	"Jul"	"7"	33.77097	22.43139
	"Bandera County, TX"	"48019"	"Aug"	"8"	34.22719	23.22335
	"Bandera County, TX"	"48019"	"Sep"	"9"	30.76082	21.03731
	"Bandera County, TX"	"48019"	"Oct"	"10"	26.58755	16.03772
	"Bandera County, TX"	"48019"	"Nov"	"11"	21.55197	10.68908
	"Bandera County, TX"	"48019"	"Dec"	"12"	17.11794	5.90322
"Total"	"Bandera County, TX"	"48019"			26.50894	15.02545
	"Bastrop County, TX"	"48021"	"Jan"	"1"	17.53539	6.44209
	"Bastrop County, TX"	"48021"	"Feb"	"2"	19.60789	7.72699
	"Bastrop County, TX"	"48021"	"Mar"	"3"	23.36888	10.69781
	"Bastrop County, TX"	"48021"	"Apr"	"4"	28.04581	13.95884
	"Bastrop County, TX"	"48021"	"May"	"5"	32.82413	18.81714
	"Bastrop County, TX"	"48021"	"Jun"	"6"	35.18084	22.48010
	"Bastrop County, TX"	"48021"	"Jul"	"7"	35.70523	23.58557
	"Bastrop County, TX"	"48021"	"Aug"	"8"	36.39295	24.49174
	"Bastrop County, TX"	"48021"	"Sep"	"9"	32.96204	22.37895
	"Bastrop County, TX"	"48021"	"Oct"	"10"	28.14910	16.67245
	"Bastrop County, TX"	"48021"	"Nov"	"11"	22.67060	11.30550
	"Bastrop County, TX"	"48021"	"Dec"	"12"	17.89952	6.18729
"Total"	"Bastrop County, TX"	"48021"			27.56373	15.42924
	"Baylor County, TX"	"48023"	"Jan"	"1"	13.28438	1.59689
	"Baylor County, TX"	"48023"	"Feb"	"2"	15.19405	3.10749
	"Baylor County, TX"	"48023"	"Mar"	"3"	20.50303	7.47860
	"Baylor County, TX"	"48023"	"Apr"	"4"	25.72467	11.43605
	"Baylor County, TX"	"48023"	"May"	"5"	31.05612	17.03241
	"Baylor County, TX"	"48023"	"Jun"	"6"	35.27524	22.44800
	"Baylor County, TX"	"48023"	"Jul"	"7"	37.10946	24.44448
	"Baylor County, TX"	"48023"	"Aug"	"8"	37.04109	24.89692
	"Baylor County, TX"	"48023"	"Sep"	"9"	32.25253	20.01649
	"Baylor County, TX"	"48023"	"Oct"	"10"	26.11690	13.49104
	"Baylor County, TX"	"48023"	"Nov"	"11"	19.29250	7.08302
	"Baylor County, TX"	"48023"	"Dec"	"12"	13.11604	1.17175
"Total"	"Baylor County, TX"	"48023"			25.54520	12.89677
	"Bee County, TX"	"48025"	"Jan"	"1"	20.22694	9.15350
	"Bee County, TX"	"48025"	"Feb"	"2"	22.58377	10.31648
	"Bee County, TX"	"48025"	"Mar"	"3"	25.93816	12.65862
	"Bee County, TX"	"48025"	"Apr"	"4"	29.92546	15.99289
	"Bee County, TX"	"48025"	"May"	"5"	33.59675	20.19377
	"Bee County, TX"	"48025"	"Jun"	"6"	35.27238	23.19929
	"Bee County, TX"	"48025"	"Jul"	"7"	34.73706	23.95574
	"Bee County, TX"	"48025"	"Aug"	"8"	35.42182	24.68392
	"Bee County, TX"	"48025"	"Sep"	"9"	32.79507	23.28811
	"Bee County, TX"	"48025"	"Oct"	"10"	29.46890	18.61536
	"Bee County, TX"	"48025"	"Nov"	"11"	24.90166	13.76562
	"Bee County, TX"	"48025"	"Dec"	"12"	20.53501	8.95344
"Total"	"Bee County, TX"	"48025"			28.80863	17.09325
	"Bell County, TX"	"48027"	"Jan"	"1"	16.03321	5.16684
	"Bell County, TX"	"48027"	"Feb"	"2"	17.91370	6.53581
	"Bell County, TX"	"48027"	"Mar"	"3"	22.12179	10.07262
	"Bell County, TX"	"48027"	"Apr"	"4"	26.98058	13.72467
	"Bell County, TX"	"48027"	"May"	"5"	32.02587	18.80158
	"Bell County, TX"	"48027"	"Jun"	"6"	34.95827	22.79541
	"Bell County, TX"	"48027"	"Jul"	"7"	36.20637	24.27047
	"Bell County, TX"	"48027"	"Aug"	"8"	36.56520	25.10947
	"Bell County, TX"	"48027"	"Sep"	"9"	32.67524	22.11595
	"Bell County, TX"	"48027"	"Oct"	"10"	27.46025	16.06603
	"Bell County, TX"	"48027"	"Nov"	"11"	21.58237	10.23109
	"Bell County, TX"	"48027"	"Dec"	"12"	16.39720	4.92785
"Total"	"Bell County, TX"	"48027"			26.78401	15.02346
	"Bexar County, TX"	"48029"	"Jan"	"1"	18.09666	7.46992
	"Bexar County, TX"	"48029"	"Feb"	"2"	20.48643	8.68951
	"Bexar County, TX"	"48029"	"Mar"	"3"	24.17814	11.60235
	"Bexar County, TX"	"48029"	"Apr"	"4"	28.80263	15.08576
	"Bexar County, TX"	"48029"	"May"	"5"	33.13733	19.52649
	"Bexar County, TX"	"48029"	"Jun"	"6"	35.30616	22.65592
	"Bexar County, TX"	"48029"	"Jul"	"7"	35.25645	23.45976
	"Bexar County, TX"	"48029"	"Aug"	"8"	35.82179	24.28448
	"Bexar County, TX"	"48029"	"Sep"	"9"	32.35837	22.41748
	"Bexar County, TX"	"48029"	"Oct"	"10"	28.18356	17.24967
	"Bexar County, TX"	"48029"	"Nov"	"11"	22.97322	12.03586
	"Bexar County, TX"	"48029"	"Dec"	"12"	18.28312	6.99759
"Total"	"Bexar County, TX"	"48029"			27.77127	15.98757
	"Blanco County, TX"	"48031"	"Jan"	"1"	16.29350	5.45662
	"Blanco County, TX"	"48031"	"Feb"	"2"	18.46262	6.89411
	"Blanco County, TX"	"48031"	"Mar"	"3"	22.36614	10.30677
	"Blanco County, TX"	"48031"	"Apr"	"4"	27.02337	14.07031
	"Blanco County, TX"	"48031"	"May"	"5"	31.66004	18.77077
	"Blanco County, TX"	"48031"	"Jun"	"6"	34.15758	22.01255
	"Blanco County, TX"	"48031"	"Jul"	"7"	34.63313	22.89018
	"Blanco County, TX"	"48031"	"Aug"	"8"	35.06547	23.62928
	"Blanco County, TX"	"48031"	"Sep"	"9"	31.53336	21.18739
	"Blanco County, TX"	"48031"	"Oct"	"10"	26.80750	15.76413
	"Blanco County, TX"	"48031"	"Nov"	"11"	21.34893	10.23909
	"Blanco County, TX"	"48031"	"Dec"	"12"	16.60869	5.07579
"Total"	"Blanco County, TX"	"48031"			26.36483	14.72570
	"Borden County, TX"	"48033"	"Jan"	"1"	13.85783	2.04634
	"Borden County, TX"	"48033"	"Feb"	"2"	16.15783	3.84904
	"Borden County, TX"	"48033"	"Mar"	"3"	21.05601	7.60099
	"Borden County, TX"	"48033"	"Apr"	"4"	26.33144	11.79719
	"Borden County, TX"	"48033"	"May"	"5"	31.25968	16.71120
	"Borden County, TX"	"48033"	"Jun"	"6"	34.68604	21.43611
	"Borden County, TX"	"48033"	"Jul"	"7"	35.22008	22.61732
	"Borden County, TX"	"48033"	"Aug"	"8"	34.94651	22.93464
	"Borden County, TX"	"48033"	"Sep"	"9"	31.35879	18.89989
	"Borden County, TX"	"48033"	"Oct"	"10"	25.89151	13.01931
	"Borden County, TX"	"48033"	"Nov"	"11"	19.09510	6.53206
	"Borden County, TX"	"48033"	"Dec"	"12"	13.70836	1.60901
"Total"	"Borden County, TX"	"48033"			25.33752	12.46051
	"Bosque County, TX"	"48035"	"Jan"	"1"	15.05724	3.90597
	"Bosque County, TX"	"48035"	"Feb"	"2"	16.78090	5.33661
	"Bosque County, TX"	"48035"	"Mar"	"3"	21.24573	9.02693
	"Bosque County, TX"	"48035"	"Apr"	"4"	26.16819	12.84522
	"Bosque County, TX"	"48035"	"May"	"5"	31.36651	18.21599
	"Bosque County, TX"	"48035"	"Jun"	"6"	34.85697	22.70515
	"Bosque County, TX"	"48035"	"Jul"	"7"	36.61404	24.28930
	"Bosque County, TX"	"48035"	"Aug"	"8"	36.75695	24.96695
	"Bosque County, TX"	"48035"	"Sep"	"9"	32.42003	21.15989
	"Bosque County, TX"	"48035"	"Oct"	"10"	27.01024	15.08033
	"Bosque County, TX"	"48035"	"Nov"	"11"	20.74017	9.10782
	"Bosque County, TX"	"48035"	"Dec"	"12"	15.25584	3.62446
"Total"	"Bosque County, TX"	"48035"			26.23384	14.23000
	"Bowie County, TX"	"48037"	"Jan"	"1"	13.25488	1.95243
	"Bowie County, TX"	"48037"	"Feb"	"2"	14.99729	3.41659
	"Bowie County, TX"	"48037"	"Mar"	"3"	20.05326	7.63515
	"Bowie County, TX"	"48037"	"Apr"	"4"	24.57785	11.04864
	"Bowie County, TX"	"48037"	"May"	"5"	28.54225	16.90240
	"Bowie County, TX"	"48037"	"Jun"	"6"	32.22919	21.35243
	"Bowie County, TX"	"48037"	"Jul"	"7"	34.67991	23.15179
	"Bowie County, TX"	"48037"	"Aug"	"8"	35.52298	22.99037
	"Bowie County, TX"	"48037"	"Sep"	"9"	31.77549	18.97271
	"Bowie County, TX"	"48037"	"Oct"	"10"	26.20349	12.86781
	"Bowie County, TX"	"48037"	"Nov"	"11"	19.79094	7.56373
	"Bowie County, TX"	"48037"	"Dec"	"12"	13.57684	1.84026
"Total"	"Bowie County, TX"	"48037"			24.64476	12.51741
	"Brazoria County, TX"	"48039"	"Jan"	"1"	17.46447	9.88553
	"Brazoria County, TX"	"48039"	"Feb"	"2"	18.53680	10.76830
	"Brazoria County, TX"	"48039"	"Mar"	"3"	21.46442	13.18773
	"Brazoria County, TX"	"48039"	"Apr"	"4"	24.85196	16.47811
	"Brazoria County, TX"	"48039"	"May"	"5"	28.61567	20.96156
	"Brazoria County, TX"	"48039"	"Jun"	"6"	31.07288	24.26863
	"Brazoria County, TX"	"48039"	"Jul"	"7"	31.66753	25.24269
	"Brazoria County, TX"	"48039"	"Aug"	"8"	32.23134	25.59586
	"Brazoria County, TX"	"48039"	"Sep"	"9"	30.53066	23.75577
	"Brazoria County, TX"	"48039"	"Oct"	"10"	26.77685	19.33957
	"Brazoria County, TX"	"48039"	"Nov"	"11"	22.37618	14.71416
	"Brazoria County, TX"	"48039"	"Dec"	"12"	18.16215	10.16006
"Total"	"Brazoria County, TX"	"48039"			25.34241	17.89488
	"Brazos County, TX"	"48041"	"Jan"	"1"	16.92975	5.29964
	"Brazos County, TX"	"48041"	"Feb"	"2"	18.80950	6.71293
	"Brazos County, TX"	"48041"	"Mar"	"3"	22.72016	9.95530
	"Brazos County, TX"	"48041"	"Apr"	"4"	26.98709	13.06383
	"Brazos County, TX"	"48041"	"May"	"5"	31.55650	18.31917
	"Brazos County, TX"	"48041"	"Jun"	"6"	34.38040	22.19318
	"Brazos County, TX"	"48041"	"Jul"	"7"	35.55505	23.45273
	"Brazos County, TX"	"48041"	"Aug"	"8"	36.06647	23.99530
	"Brazos County, TX"	"48041"	"Sep"	"9"	32.68488	21.32405
	"Brazos County, TX"	"48041"	"Oct"	"10"	27.93376	15.48822
	"Brazos County, TX"	"48041"	"Nov"	"11"	22.28430	10.14772
	"Brazos County, TX"	"48041"	"Dec"	"12"	17.22789	5.01454
"Total"	"Brazos County, TX"	"48041"			26.96498	14.61628
	"Brewster County, TX"	"48043"	"Jan"	"1"	16.15985	5.40613
	"Brewster County, TX"	"48043"	"Feb"	"2"	18.75363	7.10943
	"Brewster County, TX"	"48043"	"Mar"	"3"	22.87315	10.30397
	"Brewster County, TX"	"48043"	"Apr"	"4"	27.74368	14.59233
	"Brewster County, TX"	"48043"	"May"	"5"	32.05392	19.12579
	"Brewster County, TX"	"48043"	"Jun"	"6"	34.44721	22.47980
	"Brewster County, TX"	"48043"	"Jul"	"7"	33.65003	22.51878
	"Brewster County, TX"	"48043"	"Aug"	"8"	33.31440	22.64876
	"Brewster County, TX"	"48043"	"Sep"	"9"	30.66349	19.73348
	"Brewster County, TX"	"48043"	"Oct"	"10"	26.50627	15.19475
	"Brewster County, TX"	"48043"	"Nov"	"11"	20.66074	9.24540
	"Brewster County, TX"	"48043"	"Dec"	"12"	16.21249	4.91867
"Total"	"Brewster County, TX"	"48043"			26.11622	14.47180
	"Briscoe County, TX"	"48045"	"Jan"	"1"	11.56674	0.12708
	"Briscoe County, TX"	"48045"	"Feb"	"2"	13.55430	1.53450
	"Briscoe County, TX"	"48045"	"Mar"	"3"	18.58732	5.79244
	"Briscoe County, TX"	"48045"	"Apr"	"4"	23.91107	9.93238
	"Briscoe County, TX"	"48045"	"May"	"5"	29.11545	15.19537
	"Briscoe County, TX"	"48045"	"Jun"	"6"	33.24760	20.35833
	"Briscoe County, TX"	"48045"	"Jul"	"7"	34.80618	22.18674
	"Briscoe County, TX"	"48045"	"Aug"	"8"	34.42837	22.19982
	"Briscoe County, TX"	"48045"	"Sep"	"9"	30.22699	17.37143
	"Briscoe County, TX"	"48045"	"Oct"	"10"	24.16165	11.42213
	"Briscoe County, TX"	"48045"	"Nov"	"11"	17.32489	4.98132
	"Briscoe County, TX"	"48045"	"Dec"	"12"	11.47254	-0.21908
"Total"	"Briscoe County, TX"	"48045"			23.57915	10.95217
	"Brooks County, TX"	"48047"	"Jan"	"1"	22.18171	11.35287
	"Brooks County, TX"	"48047"	"Feb"	"2"	24.61809	12.33912
	"Brooks County, TX"	"48047"	"Mar"	"3"	28.08925	14.19844
	"Brooks County, TX"	"48047"	"Apr"	"4"	31.86002	17.12801
	"Brooks County, TX"	"48047"	"May"	"5"	35.02025	20.77877
	"Brooks County, TX"	"48047"	"Jun"	"6"	35.93879	23.25461
	"Brooks County, TX"	"48047"	"Jul"	"7"	35.28265	23.94562
	"Brooks County, TX"	"48047"	"Aug"	"8"	35.61024	24.68428
	"Brooks County, TX"	"48047"	"Sep"	"9"	32.93575	23.78960
	"Brooks County, TX"	"48047"	"Oct"	"10"	30.32477	19.81848
	"Brooks County, TX"	"48047"	"Nov"	"11"	26.20809	15.21529
	"Brooks County, TX"	"48047"	"Dec"	"12"	22.35668	10.98523
"Total"	"Brooks County, TX"	"48047"			30.05736	18.14852
	"Brown County, TX"	"48049"	"Jan"	"1"	15.46169	3.29326
	"Brown County, TX"	"48049"	"Feb"	"2"	17.18954	4.79938
	"Brown County, TX"	"48049"	"Mar"	"3"	21.77227	8.46287
	"Brown County, TX"	"48049"	"Apr"	"4"	26.80037	12.39088
	"Brown County, TX"	"48049"	"May"	"5"	31.89167	17.60233
	"Brown County, TX"	"48049"	"Jun"	"6"	34.80639	21.91131
	"Brown County, TX"	"48049"	"Jul"	"7"	35.88557	23.21866
	"Brown County, TX"	"48049"	"Aug"	"8"	35.84567	24.10548
	"Brown County, TX"	"48049"	"Sep"	"9"	31.69709	20.04552
	"Brown County, TX"	"48049"	"Oct"	"10"	26.62794	14.18886
	"Brown County, TX"	"48049"	"Nov"	"11"	20.63174	8.10158
	"Brown County, TX"	"48049"	"Dec"	"12"	15.53280	2.85805
"Total"	"Brown County, TX"	"48049"			26.22043	13.45511
	"Burleson County, TX"	"48051"	"Jan"	"1"	17.13498	5.59721
	"Burleson County, TX"	"48051"	"Feb"	"2"	19.02449	6.93765
	"Burleson County, TX"	"48051"	"Mar"	"3"	22.90926	10.15021
	"Burleson County, TX"	"48051"	"Apr"	"4"	27.23130	13.31782
	"Burleson County, TX"	"48051"	"May"	"5"	32.00060	18.45127
	"Burleson County, TX"	"48051"	"Jun"	"6"	34.74371	22.27967
	"Burleson County, TX"	"48051"	"Jul"	"7"	35.78232	23.55004
	"Burleson County, TX"	"48051"	"Aug"	"8"	36.31798	24.16316
	"Burleson County, TX"	"48051"	"Sep"	"9"	32.85915	21.52153
	"Burleson County, TX"	"48051"	"Oct"	"10"	27.97574	15.78649
	"Burleson County, TX"	"48051"	"Nov"	"11"	22.43642	10.42111
	"Burleson County, TX"	"48051"	"Dec"	"12"	17.45588	5.29252
"Total"	"Burleson County, TX"	"48051"			27.19303	14.82473
	"Burnet County, TX"	"48053"	"Jan"	"1"	16.06716	4.87872
	"Burnet County, TX"	"48053"	"Feb"	"2"	18.04906	6.26733
	"Burnet County, TX"	"48053"	"Mar"	"3"	22.18295	9.80440
	"Burnet County, TX"	"48053"	"Apr"	"4"	26.95303	13.58549
	"Burnet County, TX"	"48053"	"May"	"5"	31.85939	18.52450
	"Burnet County, TX"	"48053"	"Jun"	"6"	34.51712	22.15424
	"Burnet County, TX"	"48053"	"Jul"	"7"	35.35024	23.37308
	"Burnet County, TX"	"48053"	"Aug"	"8"	35.77185	24.20403
	"Burnet County, TX"	"48053"	"Sep"	"9"	32.00712	21.36093
	"Burnet County, TX"	"48053"	"Oct"	"10"	27.06530	15.60105
	"Burnet County, TX"	"48053"	"Nov"	"11"	21.27527	9.75277
	"Burnet County, TX"	"48053"	"Dec"	"12"	16.39995	4.53254
"Total"	"Burnet County, TX"	"48053"			26.49657	14.54055
	"Caldwell County, TX"	"48055"	"Jan"	"1"	17.97752	6.58102
	"Caldwell County, TX"	"48055"	"Feb"	"2"	20.16006	7.78073
	"Caldwell County, TX"	"48055"	"Mar"	"3"	23.93468	10.57850
	"Caldwell County, TX"	"48055"	"Apr"	"4"	28.50341	13.81229
	"Caldwell County, TX"	"48055"	"May"	"5"	33.15498	18.66953
	"Caldwell County, TX"	"48055"	"Jun"	"6"	35.32879	22.30211
	"Caldwell County, TX"	"48055"	"Jul"	"7"	35.59120	23.32319
	"Caldwell County, TX"	"48055"	"Aug"	"8"	36.31179	24.34191
	"Caldwell County, TX"	"48055"	"Sep"	"9"	32.95272	22.34592
	"Caldwell County, TX"	"48055"	"Oct"	"10"	28.33942	16.55101
	"Caldwell County, TX"	"48055"	"Nov"	"11"	23.14612	11.36847
	"Caldwell County, TX"	"48055"	"Dec"	"12"	18.34771	6.20429
"Total"	"Caldwell County, TX"	"48055"			27.84573	15.35450
	"Calhoun County, TX"	"48057"	"Jan"	"1"	18.68268	10.54849
	"Calhoun County, TX"	"48057"	"Feb"	"2"	20.03508	11.52012
	"Calhoun County, TX"	"48057"	"Mar"	"3"	22.70317	13.75997
	"Calhoun County, TX"	"48057"	"Apr"	"4"	26.14938	17.14619
	"Calhoun County, TX"	"48057"	"May"	"5"	29.44383	21.23766
	"Calhoun County, TX"	"48057"	"Jun"	"6"	31.63475	24.33622
	"Calhoun County, TX"	"48057"	"Jul"	"7"	32.03208	25.23311
	"Calhoun County, TX"	"48057"	"Aug"	"8"	32.73516	25.73362
	"Calhoun County, TX"	"48057"	"Sep"	"9"	31.20807	24.20964
	"Calhoun County, TX"	"48057"	"Oct"	"10"	27.59062	20.01622
	"Calhoun County, TX"	"48057"	"Nov"	"11"	23.37430	15.34266
	"Calhoun County, TX"	"48057"	"Dec"	"12"	19.36244	10.84256
"Total"	"Calhoun County, TX"	"48057"			26.27213	18.35688
	"Callahan County, TX"	"48059"	"Jan"	"1"	14.34935	2.69697
	"Callahan County, TX"	"48059"	"Feb"	"2"	16.17232	4.28292
	"Callahan County, TX"	"48059"	"Mar"	"3"	20.96392	8.19114
	"Callahan County, TX"	"48059"	"Apr"	"4"	26.06047	12.17071
	"Callahan County, TX"	"48059"	"May"	"5"	31.02803	17.23313
